v2ProductName,canonical_category,row_count
1 oz Hand Sanitizer,Home/Accessories/Fun/,1185
15 oz Ceramic Mug,Home/Drinkware/Mugs and Cups/,47
16 oz. Hot and Cold Tumbler,Home/Drinkware/,285
16 oz. Hot/Cold Tumbler,Home/Accessories/Drinkware/,171
20 oz Stainless Steel Insulated Tumbler,Home/Drinkware/,2960
22 oz Android Bottle,Bottles,1079
22 oz Mini Mountain Bottle,Home/Accessories/Drinkware/,635
22 oz YouTube Bottle Infuser,Home/Shop by Brand/YouTube/,4348
23 oz Wide Mouth Sport Bottle,Home/Drinkware/,974
24 oz USA Made Aluminum Bottle,Home/Drinkware/,711
24 oz YouTube Sergeant Stripe Bottle,Home/Shop by Brand/YouTube/,3088
25 oz. Infusion Water Bottle,Home/Accessories/Drinkware/,113
25L Classic Rucksack,Home/Bags/Backpacks/,6055
26 oz Double Wall Insulated Bottle,Home/Drinkware/,5214
4-in-1 Carabiner Charger,Home/Lifestyle/,1064
"7"" Dog Frisbee",Home/Accessories/Pet/,1079
7&quot; Dog Frisbee,Lifestyle,878
8 pc Android Sticker Sheet,Home/Accessories/Stickers/,1905
8pc Android Sticker Sheet,Home/Accessories/Stickers/,26
ATOM Wireless Earbud Headset,Home/Electronics/,598
Aluminum Emergency Flashlight,Home/Electronics/Flashlights/,3
Aluminum Handy Emergency Flashlight,Home/Electronics/Flashlights/,1272
Android 14 oz Mug White/Green,Home/Drinkware/Mugs and Cups/,29
Android 17oz Stainless Steel Sport Bottle,Home/Drinkware/,915
Android 22 oz Water Bottle Green,Home/Drinkware/Water Bottles and Tumblers/,12
Android 24 oz Button Lid Sport Water Bottle Green,(not set),1
Android 24 oz Button Lid Sport Water Bottle Smoke,(not set),1
Android 24 oz Contigo Addison,(not set),49
Android 24 oz Contigo Bottle,Home/Drinkware/,751
Android 25 oz Green Apple Stainless Steel Bottle,Drinkware,69
Android 5-Panel Low Cap,Home/Apparel/Headgear/,71
Android BTTF Cosmos Graphic Tee,Apparel,1382
Android BTTF Cosmos Shirt,Home/Apparel/Men's/Men's-T-Shirts/,284
Android BTTF Moonshot Graphic Tee,Apparel,814
Android BTTF Moonshot Shirt,Home/Apparel/Men's/Men's-T-Shirts/,292
Android Baby Essentials Baby Set,Home/Apparel/Kid's/Kid's-Infant/,228
Android Baby Esssentials Set,(not set),157
