v2ProductName,canonical_category,row_count,normalized_category,brand
1 oz Hand Sanitizer,Home/Accessories/Fun/,1185,Accessories,Other
15 oz Ceramic Mug,Home/Drinkware/Mugs and Cups/,47,Drinkware,Other
16 oz. Hot and Cold Tumbler,Home/Drinkware/,285,Drinkware,Other
16 oz. Hot/Cold Tumbler,Home/Accessories/Drinkware/,171,Drinkware,Other
20 oz Stainless Steel Insulated Tumbler,Home/Drinkware/,2960,Drinkware,Other
22 oz Android Bottle,Bottles,1079,Drinkware,Android
22 oz Mini Mountain Bottle,Home/Accessories/Drinkware/,635,Drinkware,Other
22 oz YouTube Bottle Infuser,Home/Shop by Brand/YouTube/,4348,Drinkware,YouTube
23 oz Wide Mouth Sport Bottle,Home/Drinkware/,974,Drinkware,Other
24 oz USA Made Aluminum Bottle,Home/Drinkware/,711,Drinkware,Other
24 oz YouTube Sergeant Stripe Bottle,Home/Shop by Brand/YouTube/,3088,Drinkware,YouTube
25 oz. Infusion Water Bottle,Home/Accessories/Drinkware/,113,Drinkware,Other
25L Classic Rucksack,Home/Bags/Backpacks/,6055,Bags,Other
26 oz Double Wall Insulated Bottle,Home/Drinkware/,5214,Drinkware,Other
4-in-1 Carabiner Charger,Home/Lifestyle/,1064,Lifestyle,Other
"7"" Dog Frisbee",Home/Accessories/Pet/,1079,Accessories,Other
7&quot; Dog Frisbee,Lifestyle,878,Lifestyle,Other
8 pc Android Sticker Sheet,Home/Accessories/Stickers/,1905,Accessories,Android
8pc Android Sticker Sheet,Home/Accessories/Stickers/,26,Accessories,Android
ATOM Wireless Earbud Headset,Home/Electronics/,598,Electronics,Other
Aluminum Emergency Flashlight,Home/Electronics/Flashlights/,3,Electronics,Other
Aluminum Handy Emergency Flashlight,Home/Electronics/Flashlights/,1272,Electronics,Other
Android 14 oz Mug White/Green,Home/Drinkware/Mugs and Cups/,29,Drinkware,Android
Android 17oz Stainless Steel Sport Bottle,Home/Drinkware/,915,Drinkware,Android
Android 22 oz Water Bottle Green,Home/Drinkware/Water Bottles and Tumblers/,12,Drinkware,Android
Android 24 oz Button Lid Sport Water Bottle Green,(not set),1,Drinkware,Android
Android 24 oz Button Lid Sport Water Bottle Smoke,(not set),1,Drinkware,Android
Android 24 oz Contigo Addison,(not set),49,Drinkware,Android
Android 24 oz Contigo Bottle,Home/Drinkware/,751,Drinkware,Android
Android 25 oz Green Apple Stainless Steel Bottle,Drinkware,69,Drinkware,Android
Android 5-Panel Low Cap,Home/Apparel/Headgear/,71,Apparel,Android
Android BTTF Cosmos Graphic Tee,Apparel,1382,Apparel,Android
Android BTTF Cosmos Shirt,Home/Apparel/Men's/Men's-T-Shirts/,284,Apparel,Android
Android BTTF Moonshot Graphic Tee,Apparel,814,Apparel,Android
Android BTTF Moonshot Shirt,Home/Apparel/Men's/Men's-T-Shirts/,292,Apparel,Android
Android Baby Essentials Baby Set,Home/Apparel/Kid's/Kid's-Infant/,228,Apparel,Android
Android Baby Esssentials Set,(not set),157,Apparel,Android
Android Cool Gear Lunch To Go,Home/Lifestyle/,7,Lifestyle,Android
Android Glass Water Bottle with Black Sleeve,Home/Drinkware/,1000,Drinkware,Android
Android Hard Cover Journal,Home/Office/Notebooks & Journals/,506,Office,Android
Android Heavyweight Long Sleeve Badge Tee Black,Apparel,180,Apparel,Android
Android Infant Short Sleeve Tee Aqua,Home/Apparel/,215,Apparel,Android
Android Infant Short Sleeve Tee Pewter,Home/Apparel/Kid's/Kid's-Infant/,274,Apparel,Android
Android Infant Short Sleeve Tee Pink,Home/Apparel/Kid's/Kid's-Infant/,175,Apparel,Android
Android Journal Book Set,Home/Office/Notebooks & Journals/,1606,Office,Android
Android Lifted Men's Short Sleeve Tee Blue,Apparel,339,Apparel,Android
Android Luggage Tag,Home/Accessories/Fun/,156,Accessories,Android
Android Lunch Kit,Home/Accessories/Housewares/,1025,Accessories,Android
Android Men's  Zip Hoodie,Home/Apparel/Men's/Men's-Outerwear/,2256,Apparel,Android
Android Men's 3/4 Sleeve Raglan Henley Black,Apparel,557,Apparel,Android
Android Men's Engineer Short Sleeve Tee Charcoal,Home/Apparel/Men's/Men's-T-Shirts/,1426,Apparel,Android
Android Men's Heavyweight Long Sleeve Badge Tee Black,Apparel,5,Apparel,Android
Android Men's Long & Lean Badge Tee Charcoal,Apparel,306,Apparel,Android
Android Men's Long Sleeve Badge Crew Tee Heather,Apparel,443,Apparel,Android
Android Men's Outerstellar Short Sleeve Tee Black,Apparel,439,Apparel,Android
Android Men's Paradise Short Sleeve Tee Olive,Android,347,Apparel,Android
Android Men's Pep Rally Short Sleeve Tee Navy,Apparel,511,Apparel,Android
Android Men's Short Sleeve Hero Tee Heather,Apparel,542,Apparel,Android
Android Men's Short Sleeve Hero Tee White,Home/Apparel/Men's/Men's-T-Shirts/,360,Apparel,Android
Android Men's Short Sleeve Tri-blend Hero Tee Grey,Apparel,462,Apparel,Android
Android Men's Skater Badge Tee Charcoal,Apparel,196,Apparel,Android
Android Men's Take Charge Short Sleeve Tee Purple,Apparel,471,Apparel,Android
Android Men's Vintage Henley,Apparel,916,Apparel,Android
Android Men's Vintage Tank,Apparel,365,Apparel,Android
Android Men's Vintage Tee,Home/Apparel/Men's/Men's-T-Shirts/,306,Apparel,Android
Android Men's Zip Hoodie,Home/Apparel/Men's/,22,Apparel,Android
Android Onesie Baby Blue,Home/Apparel/Kid's/Kid's-Infant/,312,Apparel,Android
Android Onesie Gold,Home/Apparel/Kid's/Kid's-Infant/,824,Apparel,Android
Android Onesie Sprout Green,Apparel,150,Apparel,Android
Android RFID Journal,Home/Office/Notebooks & Journals/,656,Office,Android
Android Rise 14 oz Mug,Home/Drinkware/Mugs and Cups/,3367,Drinkware,Android
Android Spiral Journal with Pen,Home/Office/,394,Office,Android
Android Sticker Sheet Ultra Removable,Home/Accessories/Stickers/,2889,Accessories,Android
Android Stretch Fit Hat,Home/Apparel/Headgear/,778,Apparel,Android
Android Stretch Fit Hat Black,Home/Apparel/Headgear/,283,Apparel,Android
Android Stretch Fit Hat L/XL,Headgear,122,Apparel,Android
Android Stretch Fit Hat M/L,Headgear,229,Apparel,Android
Android Stretch Fit Hat S/M,Headgear,123,Apparel,Android
Android Toddler Short Sleeve T-shirt Aqua,Home/Apparel/Kid's/Kid's-Toddler/,502,Apparel,Android
Android Toddler Short Sleeve T-shirt Pewter,Home/Apparel/Kid's/Kid's-Toddler/,573,Apparel,Android
Android Toddler Short Sleeve T-shirt Pink,Home/Apparel/Kid's/Kid's-Toddler/,722,Apparel,Android
Android Twill Cap,Home/Apparel/Headgear/,789,Apparel,Android
Android Women's Fleece Hoodie,Home/Apparel/Women's/Women's-Outerwear/,481,Apparel,Android
Android Women's Long Sleeve Blended Cardigan Grey,Home/Apparel/Women's/Women's-Outerwear/,809,Apparel,Android
Android Women's Racer Back Tank Black,Home/Apparel/Women's/Women's-T-Shirts/,78,Apparel,Android
Android Women's Short Sleeve Badge Tee Dark Heather,Home/Apparel/Women's/Women's-T-Shirts/,214,Apparel,Android
Android Women's Short Sleeve Badge Tee Light Charcoal,Apparel,17,Apparel,Android
Android Women's Short Sleeve Hero Tee Black,Home/Apparel/Women's/Women's-T-Shirts/,241,Apparel,Android
Android Women's Short Sleeve Tri-blend Badge Tee Light Blue,(not set),72,Apparel,Android
Android Women's Short Sleeve Tri-blend Badge Tee Light Grey,Home/Apparel/Women's/Women's-T-Shirts/,82,Apparel,Android
Android Wool Heather Cap Heather/Black,Home/Apparel/Headgear/,841,Apparel,Android
Android Youth Short Sleeve T-shirt Aqua,Home/Apparel/Kid's/Kids-Youth/,697,Apparel,Android
Android Youth Short Sleeve T-shirt Pewter,Home/Apparel/Kid's/Kids-Youth/,740,Apparel,Android
Aria Bluetooth Speaker,Home/Electronics/,563,Electronics,Other
BLM Sweatshirt,Apparel,2735,Apparel,Other
BLM Sweatshirt (Pre-Order),Home/Apparel/Men's/Men's-Outerwear/,72,Apparel,Other
Badge Holder,Home/Office/Office Other/,2393,Office,Other
Ballpoint LED Light Pen,Home/Office/Writing Instruments/,1162,Office,Other
Ballpoint Pen & Matching Tube Case,Office,424,Office,Other
Ballpoint Pen Blue,Office,941,Office,Other
Ballpoint Stick Pen 4 Pack,Office,1280,Office,Other
Ballpoint Stylus Pen,Home/Office/,352,Office,Other
Basecamp Explorer Powerbank Flashlight,Home/Electronics/Flashlights/,1364,Electronics,Other
Bic Digital Clic Stic Stylus Pen,Home/Office/,151,Office,Other
Bic Intensity Clic Gel Pen,Home/Office/,134,Office,Other
Bic Leather Pen,Home/Office/,31,Office,Other
Bic Tri-Tone Twist Pen,Home/Office/,29,Office,Other
Blue Keeper Notebook Set with Flap,Home/Office/,163,Office,Other
Blue Metallic Textured Spiral Notebook Set,Home/Office/,413,Office,Other
Bottle Opener Clip,Home/Drinkware/,910,Drinkware,Other
Carabiner Flashlight,Home/Electronics/Flashlights/,5,Electronics,Other
Chevron Shopper,Home/Limited Supply/Bags/,278,Bags,Other
Clip-on Compact Charger,Home/Electronics/,1322,Electronics,Other
Collapsible Pet Bowl,Home/Lifestyle/,101,Lifestyle,Other
Collapsible Shopping Bag,Home/Bags/Shopping and Totes/,2009,Bags,Other
Color Changing Grip Pen,Office,982,Office,Other
